historical_year,future_year,initial_cp,final_cp,target_cp,status
1980,2050,0.25383809198542806,0.49423577282245934,0.49423577282275305,LOCALLY_SOLVED
1981,2050,0.24322655251141553,0.4577015502316606,0.4577015502317447,LOCALLY_SOLVED
1982,2050,0.2371301369863014,0.43671234293577715,0.4367123429308379,LOCALLY_SOLVED
1983,2050,0.27068962328767127,0.5522535182309942,0.5522535182312507,LOCALLY_SOLVED
1984,2050,0.23293709016393446,0.42227619950384654,0.4222761994930257,LOCALLY_SOLVED
1985,2050,0.23362817351598172,0.42465551430838133,0.4246555143016347,LOCALLY_SOLVED
1986,2050,0.26806942922374427,0.5432325129944015,0.5432325129946787,LOCALLY_SOLVED
1987,2050,0.22084994292237445,0.3806616412190757,0.38066164121946783,LOCALLY_SOLVED
1988,2050,0.2710702868852459,0.5535640960826074,0.5535640960828612,LOCALLY_SOLVED
1989,2050,0.23405057077625568,0.4261097760209197,0.42610977601045047,LOCALLY_SOLVED
1990,2050,0.27874872146118723,0.580000000059665,0.5800000000000001,LOCALLY_SOLVED
1991,2050,0.23464165525114156,0.4281448070215685,0.4281448070093406,LOCALLY_SOLVED
1992,2050,0.25388288934426223,0.49439000460787574,0.49439000460817467,LOCALLY_SOLVED
1993,2050,0.2476379680365297,0.47288951019999775,0.4728895102002892,LOCALLY_SOLVED
1994,2050,0.2604950570776256,0.5171548831979578,0.5171548831982533,LOCALLY_SOLVED
1995,2050,0.2569352853881278,0.5048990279946968,0.5048990279949885,LOCALLY_SOLVED
1996,2050,0.22842389571948998,0.40673782732140423,0.40673782724895674,LOCALLY_SOLVED
1997,2050,0.22880487442922373,0.4080494900533486,0.40804948999289176,LOCALLY_SOLVED
1998,2050,0.27388305936073054,0.5632481251268946,0.5632481250561132,LOCALLY_SOLVED
1999,2050,0.2589950114155251,0.5119904108563156,0.5119904108566065,LOCALLY_SOLVED
2000,2050,0.2678446948998179,0.5424587804144875,0.5424587804147618,LOCALLY_SOLVED
2001,2050,0.23847245433789954,0.44133377613907293,0.44133377613863695,LOCALLY_SOLVED
2002,2050,0.2490764383561644,0.477841986226387,0.47784198622667834,LOCALLY_SOLVED
2003,2050,0.2123871803652968,0.35152539272727995,0.3515253927276936,LOCALLY_SOLVED
2004,2050,0.24271991120218578,0.455957246645133,0.45595724664502196,LOCALLY_SOLVED
2005,2050,0.23333942922374432,0.42366140329580604,0.42366140328971597,LOCALLY_SOLVED
2006,2050,0.24297996575342465,0.4568525824144715,0.4568525824145399,LOCALLY_SOLVED
2007,2050,0.2613649200913242,0.5201497143479643,0.5201497143482463,LOCALLY_SOLVED
2008,2050,0.26065891393442625,0.517719022161424,0.5177190221617012,LOCALLY_SOLVED
2009,2050,0.23132075342465752,0.4167113513118638,0.4167113513049397,LOCALLY_SOLVED
2010,2050,0.2032304794520548,0.31999999999957934,0.32,LOCALLY_SOLVED
2011,2050,0.2437485502283105,0.4594987240373634,0.45949872403746267,LOCALLY_SOLVED
2012,2050,0.2313331853369763,0.41675415285559125,0.41675415284688283,LOCALLY_SOLVED
2013,2050,0.23270415525114158,0.4214742333031343,0.4214742332963132,LOCALLY_SOLVED
2014,2050,0.2330183105022831,0.4225558311233516,0.42255583110796374,LOCALLY_SOLVED
2015,2050,0.26014762557077625,0.5159587193390417,0.5159587193393329,LOCALLY_SOLVED
2016,2050,0.21315528233151185,0.35416987313231907,0.35416987313272946,LOCALLY_SOLVED
2017,2050,0.2306216324200913,0.4143043638811417,0.41430436384930863,LOCALLY_SOLVED
2018,2050,0.22739156392694065,0.40318363615103064,0.403183636116828,LOCALLY_SOLVED
2019,2050,0.2411617123287671,0.4505925599637469,0.4505925599638903,LOCALLY_SOLVED
